datacenter_id;datacenter_name;id;type;role;level;bandwidth;total_used_bandwidth;traffic_history;ports;duration;active_duration;power_per_port;low_power;high_power;is_active;
0;Datacenter_1;0;switch;access switch;0;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;449,True,4.0,113,0,1000,4000.0,1000.0-1000.0-1000.0-1000.0-:0,True,1.0,0,0,1000,1000.0,1000.0-:1,True,1.0,0,1,1000,1000.0,1000.0-:2,True,1.0,0,2,1000,1000.0,1000.0-:3,True,1.0,0,3,1000,1000.0,1000.0-:;449.0;0.8;15.4;70;71;True;
0;Datacenter_1;1;switch;access switch;0;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;450,True,4.0,113,1,1000,4000.0,1000.0-1000.0-1000.0-1000.0-:4,True,1.0,1,4,1000,1000.0,1000.0-:5,True,1.0,1,5,1000,1000.0,1000.0-:6,True,1.0,1,6,1000,1000.0,1000.0-:7,True,1.0,1,7,1000,1000.0,1000.0-:;449.0;0.8;15.4;70;71;True;
0;Datacenter_1;2;switch;access switch;0;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;451,True,4.0,113,2,1000,4000.0,1000.0-1000.0-1000.0-1000.0-:8,True,1.0,2,8,1000,1000.0,1000.0-:9,True,1.0,2,9,1000,1000.0,1000.0-:10,True,1.0,2,10,1000,1000.0,1000.0-:11,True,1.0,2,11,1000,1000.0,1000.0-:;449.0;0.8;15.4;70;71;True;
0;Datacenter_1;3;switch;access switch;0;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;452,True,4.0,113,3,1000,4000.0,1000.0-1000.0-1000.0-1000.0-:12,True,1.0,3,12,1000,1000.0,1000.0-:13,True,1.0,3,13,1000,1000.0,1000.0-:14,True,1.0,3,14,1000,1000.0,1000.0-:15,True,1.0,3,15,1000,1000.0,1000.0-:;449.0;0.8;15.4;70;71;True;
0;Datacenter_1;4;switch;access switch;0;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;453,True,4.0,114,4,1000,4000.0,1000.0-1000.0-1000.0-1000.0-:16,True,1.0,4,16,1000,1000.0,1000.0-:17,True,1.0,4,17,1000,1000.0,1000.0-:18,True,1.0,4,18,1000,1000.0,1000.0-:19,True,1.0,4,19,1000,1000.0,1000.0-:;449.0;0.8;15.4;70;71;True;
0;Datacenter_1;5;switch;access switch;0;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;454,True,4.0,114,5,1000,4000.0,1000.0-1000.0-1000.0-1000.0-:20,True,1.0,5,20,1000,1000.0,1000.0-:21,True,1.0,5,21,1000,1000.0,1000.0-:22,True,1.0,5,22,1000,1000.0,1000.0-:23,True,1.0,5,23,1000,1000.0,1000.0-:;449.0;0.8;15.4;70;71;True;
0;Datacenter_1;6;switch;access switch;0;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;455,True,4.0,114,6,1000,4000.0,1000.0-1000.0-1000.0-1000.0-:24,True,1.0,6,24,1000,1000.0,1000.0-:25,True,1.0,6,25,1000,1000.0,1000.0-:26,True,1.0,6,26,1000,1000.0,1000.0-:27,True,1.0,6,27,1000,1000.0,1000.0-:;449.0;0.8;15.4;70;71;True;
0;Datacenter_1;7;switch;access switch;0;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;456,True,4.0,114,7,1000,4000.0,1000.0-1000.0-1000.0-1000.0-:28,True,1.0,7,28,1000,1000.0,1000.0-:29,True,1.0,7,29,1000,1000.0,1000.0-:30,True,1.0,7,30,1000,1000.0,1000.0-:31,True,1.0,7,31,1000,1000.0,1000.0-:;449.0;0.8;15.4;70;71;True;
0;Datacenter_1;8;switch;access switch;0;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;457,True,4.0,114,8,1000,4000.0,1000.0-1000.0-1000.0-1000.0-:32,True,1.0,8,32,1000,1000.0,1000.0-:33,True,1.0,8,33,1000,1000.0,1000.0-:34,True,1.0,8,34,1000,1000.0,1000.0-:35,True,1.0,8,35,1000,1000.0,1000.0-:;449.0;0.8;15.4;70;71;True;
0;Datacenter_1;9;switch;access switch;0;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;458,True,4.0,115,9,1000,4000.0,1000.0-1000.0-1000.0-1000.0-:36,True,1.0,9,36,1000,1000.0,1000.0-:37,True,1.0,9,37,1000,1000.0,1000.0-:38,True,1.0,9,38,1000,1000.0,1000.0-:39,True,1.0,9,39,1000,1000.0,1000.0-:;449.0;0.8;15.4;70;71;True;
